BECvar_site,BECvar_seed,HTp_pred
BGxh1,MSdc2,0.3872
BGxh1,MSdc3,0.4012
BGxh1,MSdk1,0.4809
BGxh1,MSdk2,0.4622
BGxh1,MSdm1,0.5116
BGxh1,MSdm2,0.4949
BGxh1,MSdm3,0.5379
BGxh1,MSdv,0.3657
BGxh1,MSmw1,0.4372
BGxh1,MSmw2,0.4916
BGxh1,MSun,0.3161
BGxh1,MSxk1,0.5011
BGxh1,MSxk2,0.5558
BGxh1,MSxk3,0.4715
BGxh1,MSxv,0.4124
BGxh1,PPdh2,0.7998
BGxh1,PPxh1,0.9583
BGxh1,PPxh2,0.9089
BGxh1,PPxh3,0.8342
BGxh1,SBPSdc,0.5320
BGxh1,SBPSmc,0.5059
BGxh1,SBPSmk,0.5221
BGxh1,SBPSxc,0.5292
BGxh1,SBSdh1,0.5215
BGxh1,SBSdh2,0.3624
BGxh1,SBSdk,0.5415
BGxh1,SBSdw1,0.5555
BGxh1,SBSdw2,0.5501
BGxh1,SBSdw3,0.5064
BGxh1,SBSmc1,0.4437
BGxh1,SBSmc2,0.4469
BGxh1,SBSmc3,0.4797
BGxh1,SBSmh,0.6042
BGxh1,SBSmk1,0.4104
BGxh1,SBSmk2,0.4426
BGxh1,SBSmm,0.4622
BGxh1,SBSmw,0.5073
BGxh1,SBSun,0.2854
BGxh1,SBSvk,0.3250
BGxh1,SBSwk1,0.3830
BGxh1,SBSwk2,0.3496
BGxh1,SBSwk3,0.4287
BGxh1,SWBmk,0.2655
BGxh1,SWBmks,0.2084
BGxh1,SWBun,0.2582
BGxh1,SWBuns,0.2124
BGxh1,SWBvk,0.1577
BGxh1,SWBvks,0.1105
BGxh2,BAFAun,0.2055
BGxh2,BAFAunp,0.2948
BGxh2,BGxh1,0.9653
BGxh2,BGxh2,1.0000
BGxh2,BGxh3,0.9822
BGxh2,BGxw1,0.9465
BGxh2,BGxw2,0.9025
BGxh2,BWBSdk,0.4819
BGxh2,BWBSmk,0.4507
BGxh2,BWBSmw,0.5799
BGxh2,BWBSvk,0.3083
BGxh2,BWBSwk1,0.5072
BGxh2,BWBSwk2,0.4920
BGxh2,BWBSwk3,0.3891
BGxh2,CDFmm,0.6516
BGxh2,CMAun,0.1611
BGxh2,CMAunp,0.2135
BGxh2,CMAwh,0.1805
BGxh2,CWHdm,0.4792
BGxh2,CWHds1,0.5303
BGxh2,CWHds2,0.5721
BGxh2,CWHmm1,0.4077
BGxh2,CWHmm2,0.3741
BGxh2,CWHms1,0.4226
BGxh2,CWHms2,0.3972
BGxh2,CWHun,0.5800
BGxh2,CWHvh1,0.3367
BGxh2,CWHvh2,0.2863
BGxh2,CWHvh3,0.3103
BGxh2,CWHvm1,0.3378
BGxh2,CWHvm2,0.2840
BGxh2,CWHwh1,0.3935
BGxh2,CWHwh2,0.2811
BGxh2,CWHwm,0.3376
BGxh2,CWHws1,0.4679
BGxh2,CWHws2,0.3877
BGxh2,CWHxm1,0.5767
BGxh2,CWHxm2,0.4688
BGxh2,ESSFdc1,0.4471
BGxh2,ESSFdc2,0.4990
BGxh2,ESSFdc3,0.5274
BGxh2,ESSFdcp,0.3573
BGxh2,ESSFdcw,0.3853
BGxh2,ESSFdk1,0.4239
BGxh2,ESSFdk2,0.3905
BGxh2,ESSFdkp,0.2806
BGxh2,ESSFdkw,0.3229
BGxh2,ESSFdv1,0.4571
BGxh2,ESSFdv2,0.4128
BGxh2,ESSFdvp,0.3203
BGxh2,ESSFdvw,0.3685
BGxh2,ESSFmc,0.4019
BGxh2,ESSFmcp,0.2748
BGxh2,ESSFmh,0.5150
BGxh2,ESSFmk,0.3820
BGxh2,ESSFmkp,0.2931
BGxh2,ESSFmm1,0.3453
BGxh2,ESSFmm2,0.3478
BGxh2,ESSFmmp,0.2801
BGxh2,ESSFmmw,0.3464
BGxh2,ESSFmv1,0.5209
BGxh2,ESSFmv2,0.3801
BGxh2,ESSFmv3,0.3957
BGxh2,ESSFmv4,0.4029
BGxh2,ESSFmvp,0.3133
BGxh2,ESSFmw,0.4118
BGxh2,ESSFmw1,0.4325
BGxh2,ESSFmw2,0.4656
BGxh2,ESSFmwp,0.3271
BGxh2,ESSFmww,0.3910
BGxh2,ESSFun,0.2908
BGxh2,ESSFunp,0.2369
BGxh2,ESSFvc,0.3484
BGxh2,ESSFvcp,0.2520
BGxh2,ESSFvcw,0.2920
BGxh2,ESSFwc2,0.3664
BGxh2,ESSFwc3,0.3109
BGxh2,ESSFwc4,0.3690
BGxh2,ESSFwcp,0.2708
BGxh2,ESSFwcw,0.3085
BGxh2,ESSFwh1,0.4142
BGxh2,ESSFwh2,0.4543
BGxh2,ESSFwh3,0.3858
BGxh2,ESSFwk1,0.4136
BGxh2,ESSFwk2,0.3438
BGxh2,ESSFwm,0.3599
BGxh2,ESSFwm1,0.4135
BGxh2,ESSFwm2,0.3963
BGxh2,ESSFwm3,0.3290
BGxh2,ESSFwm4,0.4509
BGxh2,ESSFwmp,0.2788
BGxh2,ESSFwmw,0.3238
BGxh2,ESSFwv,0.3793
BGxh2,ESSFwvp,0.3038
BGxh2,ESSFxc1,0.5082
BGxh2,ESSFxc2,0.4873
BGxh2,ESSFxc3,0.4685
BGxh2,ESSFxcp,0.3881
BGxh2,ESSFxcw,0.4092
BGxh2,ESSFxv1,0.3890
BGxh2,ESSFxv2,0.3802
BGxh2,ESSFxvp,0.3048
BGxh2,ESSFxvw,0.3775
BGxh2,ICHdk,0.6507
BGxh2,ICHdm,0.5846
BGxh2,ICHdw1,0.6707
BGxh2,ICHdw3,0.6458
BGxh2,ICHdw4,0.7322
BGxh2,ICHmc1,0.5032
BGxh2,ICHmc2,0.6070
BGxh2,ICHmk1,0.6459
BGxh2,ICHmk2,0.6492
BGxh2,ICHmk3,0.6063
BGxh2,ICHmk4,0.5524
BGxh2,ICHmm,0.5036
BGxh2,ICHmw1,0.5478
BGxh2,ICHmw2,0.5689
BGxh2,ICHmw3,0.5775
BGxh2,ICHmw4,0.4730
BGxh2,ICHmw5,0.5966
BGxh2,ICHvc,0.4588
BGxh2,ICHvk1,0.4329
BGxh2,ICHvk2,0.4235
BGxh2,ICHwc,0.4124
BGxh2,ICHwk1,0.4842
BGxh2,ICHwk2,0.5640
BGxh2,ICHwk3,0.4879
BGxh2,ICHwk4,0.4898
BGxh2,ICHxw,0.7753
BGxh2,IDFdc,0.6826
BGxh2,IDFdk1,0.7596
BGxh2,IDFdk2,0.7217
BGxh2,IDFdk3,0.7464
BGxh2,IDFdk4,0.7336
BGxh2,IDFdk5,0.7505
BGxh2,IDFdm1,0.8038
BGxh2,IDFdm2,0.7974
BGxh2,IDFdw,0.6718
BGxh2,IDFmw1,0.7876
BGxh2,IDFmw2,0.7925
BGxh2,IDFww,0.6570
BGxh2,IDFww1,0.8187
