BECvar_site,BECvar_seed,HTp_pred
BAFAunp,ICHmc2,0.9325
BAFAunp,ICHmk1,0.9321
BAFAunp,ICHmk2,0.9363
BAFAunp,ICHmk3,0.9412
BAFAunp,ICHmk4,0.9520
BAFAunp,ICHmm,0.9652
BAFAunp,ICHmw1,0.9561
BAFAunp,ICHmw2,0.9312
BAFAunp,ICHmw3,0.9322
BAFAunp,ICHmw4,0.9496
BAFAunp,ICHmw5,0.9376
BAFAunp,ICHvc,0.9621
BAFAunp,ICHvk1,0.9636
BAFAunp,ICHvk2,0.9638
BAFAunp,ICHwc,0.9637
BAFAunp,ICHwk1,0.9578
BAFAunp,ICHwk2,0.9445
BAFAunp,ICHwk3,0.9568
BAFAunp,ICHwk4,0.9597
BAFAunp,ICHxw,0.8474
BAFAunp,IDFdc,0.9249
BAFAunp,IDFdk1,0.9030
BAFAunp,IDFdk2,0.9138
BAFAunp,IDFdk3,0.9047
BAFAunp,IDFdk4,0.9079
BAFAunp,IDFdk5,0.8962
BAFAunp,IDFdm1,0.8786
BAFAunp,IDFdm2,0.8729
BAFAunp,IDFdw,0.9321
BAFAunp,IDFmw1,0.8724
BAFAunp,IDFmw2,0.8761
BAFAunp,IDFww,0.9074
BAFAunp,IDFww1,0.8575
BAFAunp,IDFxc,0.8452
BAFAunp,IDFxh1,0.8331
BAFAunp,IDFxh2,0.8503
BAFAunp,IDFxh4,0.8172
BAFAunp,IDFxk,0.8411
BAFAunp,IDFxm,0.8737
BAFAunp,IDFxw,0.8494
BAFAunp,IMAun,0.9891
BAFAunp,IMAunp,0.9960
BAFAunp,MHmm1,0.9564
BAFAunp,MHmm2,0.9865
BAFAunp,MHmmp,0.9812
BAFAunp,MHun,0.9590
BAFAunp,MHunp,0.9600
BAFAunp,MHwh,0.9347
BAFAunp,MHwh1,0.9360
BAFAunp,MHwhp,0.9428
BAFAunp,MSdc1,0.9615
BAFAunp,MSdc2,0.9780
BAFAunp,MSdc3,0.9746
BAFAunp,MSdk1,0.9443
BAFAunp,MSdk2,0.9476
BAFAunp,MSdm1,0.9433
BAFAunp,MSdm2,0.9496
BAFAunp,MSdm3,0.9372
BAFAunp,MSdv,0.9792
BAFAunp,MSmw1,0.9565
BAFAunp,MSmw2,0.9497
BAFAunp,MSun,0.9887
BAFAunp,MSxk1,0.9482
BAFAunp,MSxk2,0.9281
BAFAunp,MSxk3,0.9540
BAFAunp,MSxv,0.9679
BAFAunp,PPdh2,0.8288
BAFAunp,PPxh1,0.7297
BAFAunp,PPxh2,0.7659
BAFAunp,PPxh3,0.8082
BAFAunp,SBPSdc,0.9259
BAFAunp,SBPSmc,0.9403
BAFAunp,SBPSmk,0.9341
BAFAunp,SBPSxc,0.9331
BAFAunp,SBSdh1,0.9319
BAFAunp,SBSdh2,0.9685
BAFAunp,SBSdk,0.9231
BAFAunp,SBSdw1,0.9227
BAFAunp,SBSdw2,0.9232
BAFAunp,SBSdw3,0.9280
BAFAunp,SBSmc1,0.9591
BAFAunp,SBSmc2,0.9505
BAFAunp,SBSmc3,0.9455
BAFAunp,SBSmh,0.8966
BAFAunp,SBSmk1,0.9507
BAFAunp,SBSmk2,0.9214
BAFAunp,SBSmm,0.9556
BAFAunp,SBSmw,0.9327
BAFAunp,SBSun,0.9586
BAFAunp,SBSvk,0.9639
BAFAunp,SBSwk1,0.9584
BAFAunp,SBSwk2,0.9568
BAFAunp,SBSwk3,0.9469
BAFAunp,SWBmk,0.9485
BAFAunp,SWBmks,0.9670
BAFAunp,SWBun,0.9354
BAFAunp,SWBuns,0.9463
BAFAunp,SWBvk,0.9540
BAFAunp,SWBvks,0.9475
BGxh1,BAFAun,0.4083
BGxh1,BAFAunp,0.4984
BGxh1,BGxh1,1.0000
BGxh1,BGxh2,0.9842
BGxh1,BGxh3,0.9602
BGxh1,BGxw1,0.9335
BGxh1,BGxw2,0.9024
BGxh1,BWBSdk,0.6246
BGxh1,BWBSmk,0.6065
BGxh1,BWBSmw,0.6970
BGxh1,BWBSvk,0.5113
BGxh1,BWBSwk1,0.6533
BGxh1,BWBSwk2,0.6393
BGxh1,BWBSwk3,0.5632
BGxh1,CDFmm,0.8414
BGxh1,CMAun,0.3658
BGxh1,CMAunp,0.4303
BGxh1,CMAwh,0.4052
BGxh1,CWHdm,0.6963
BGxh1,CWHds1,0.7089
BGxh1,CWHds2,0.7169
BGxh1,CWHmm1,0.6274
BGxh1,CWHmm2,0.5929
BGxh1,CWHms1,0.6186
BGxh1,CWHms2,0.6091
BGxh1,CWHun,0.7075
BGxh1,CWHvh1,0.5894
BGxh1,CWHvh2,0.5232
BGxh1,CWHvh3,0.5469
BGxh1,CWHvm1,0.5720
BGxh1,CWHvm2,0.5122
BGxh1,CWHwh1,0.6186
BGxh1,CWHwh2,0.5128
BGxh1,CWHwm,0.5401
BGxh1,CWHws1,0.6469
BGxh1,CWHws2,0.5810
BGxh1,CWHxm1,0.7715
BGxh1,CWHxm2,0.6794
BGxh1,ESSFdc1,0.6213
BGxh1,ESSFdc2,0.6570
BGxh1,ESSFdc3,0.6717
BGxh1,ESSFdcp,0.5504
BGxh1,ESSFdcw,0.5737
BGxh1,ESSFdk1,0.6031
