BECvar_site,BECvar_seed,HTp_pred
BAFAunp,ESSFwv,0.9435
BAFAunp,ESSFwvp,0.9615
BAFAunp,ESSFxc1,0.9028
BAFAunp,ESSFxc2,0.9249
BAFAunp,ESSFxc3,0.9365
BAFAunp,ESSFxcp,0.9605
BAFAunp,ESSFxcw,0.9596
BAFAunp,ESSFxv1,0.9804
BAFAunp,ESSFxv2,0.9766
BAFAunp,ESSFxvp,0.9930
BAFAunp,ESSFxvw,0.9737
BAFAunp,ICHdk,0.7857
BAFAunp,ICHdm,0.8203
BAFAunp,ICHdw1,0.6849
BAFAunp,ICHdw3,0.7506
BAFAunp,ICHdw4,0.6489
BAFAunp,ICHmc1,0.8586
BAFAunp,ICHmc2,0.7894
BAFAunp,ICHmk1,0.7881
BAFAunp,ICHmk2,0.8003
BAFAunp,ICHmk3,0.8145
BAFAunp,ICHmk4,0.8466
BAFAunp,ICHmm,0.8869
BAFAunp,ICHmw1,0.8589
BAFAunp,ICHmw2,0.7857
BAFAunp,ICHmw3,0.7883
BAFAunp,ICHmw4,0.8395
BAFAunp,ICHmw5,0.8040
BAFAunp,ICHvc,0.8773
BAFAunp,ICHvk1,0.8820
BAFAunp,ICHvk2,0.8827
BAFAunp,ICHwc,0.8825
BAFAunp,ICHwk1,0.8642
BAFAunp,ICHwk2,0.8242
BAFAunp,ICHwk3,0.8611
BAFAunp,ICHwk4,0.8700
BAFAunp,ICHxw,0.5708
BAFAunp,IDFdc,0.7681
BAFAunp,IDFdk1,0.7082
BAFAunp,IDFdk2,0.7374
BAFAunp,IDFdk3,0.7127
BAFAunp,IDFdk4,0.7213
BAFAunp,IDFdk5,0.6903
BAFAunp,IDFdm1,0.6453
BAFAunp,IDFdm2,0.6312
BAFAunp,IDFdw,0.7886
BAFAunp,IDFmw1,0.6298
BAFAunp,IDFmw2,0.6389
BAFAunp,IDFww,0.7198
BAFAunp,IDFww1,0.5945
BAFAunp,IDFxc,0.5663
BAFAunp,IDFxh1,0.5391
BAFAunp,IDFxh2,0.5779
BAFAunp,IDFxh4,0.5051
BAFAunp,IDFxk,0.5569
BAFAunp,IDFxm,0.6332
BAFAunp,IDFxw,0.5757
BAFAunp,IMAun,0.9636
BAFAunp,IMAunp,0.9867
BAFAunp,MHmm1,0.8601
BAFAunp,MHmm2,0.9550
BAFAunp,MHmmp,0.9381
BAFAunp,MHun,0.8683
BAFAunp,MHunp,0.8715
BAFAunp,MHwh,0.7957
BAFAunp,MHwh1,0.7996
BAFAunp,MHwhp,0.8195
BAFAunp,MSdc1,0.8757
BAFAunp,MSdc2,0.9274
BAFAunp,MSdc3,0.9167
BAFAunp,MSdk1,0.8236
BAFAunp,MSdk2,0.8334
BAFAunp,MSdm1,0.8209
BAFAunp,MSdm2,0.8395
BAFAunp,MSdm3,0.8030
BAFAunp,MSdv,0.9315
BAFAunp,MSmw1,0.8605
BAFAunp,MSmw2,0.8397
BAFAunp,MSun,0.9622
BAFAunp,MSxk1,0.8355
BAFAunp,MSxk2,0.7771
BAFAunp,MSxk3,0.8528
BAFAunp,MSxv,0.8955
BAFAunp,PPdh2,0.5298
BAFAunp,PPxh1,0.3442
BAFAunp,PPxh2,0.4058
BAFAunp,PPxh3,0.4863
BAFAunp,SBPSdc,0.7705
BAFAunp,SBPSmc,0.8121
BAFAunp,SBPSmk,0.7939
BAFAunp,SBPSxc,0.7914
BAFAunp,SBSdh1,0.7876
BAFAunp,SBSdh2,0.8972
BAFAunp,SBSdk,0.7628
BAFAunp,SBSdw1,0.7615
BAFAunp,SBSdw2,0.7630
BAFAunp,SBSdw3,0.7765
BAFAunp,SBSmc1,0.8683
BAFAunp,SBSmc2,0.8421
BAFAunp,SBSmc3,0.8273
BAFAunp,SBSmh,0.6911
BAFAunp,SBSmk1,0.8426
BAFAunp,SBSmk2,0.7580
BAFAunp,SBSmm,0.8576
BAFAunp,SBSmw,0.7899
BAFAunp,SBSun,0.8668
BAFAunp,SBSvk,0.8829
