BECvarfut_plantation,BECvar_seed,HTp_pred
BAFAunp,ESSFmm1,0.9824
BAFAunp,ESSFmm2,0.9733
BAFAunp,ESSFmmp,0.9770
BAFAunp,ESSFmmw,0.9856
BAFAunp,ESSFmv1,0.9613
BAFAunp,ESSFmv2,0.9732
BAFAunp,ESSFmv3,0.9580
BAFAunp,ESSFmv4,0.9351
BAFAunp,ESSFmvp,0.9578
BAFAunp,ESSFmw,0.9952
BAFAunp,ESSFmw1,0.9886
BAFAunp,ESSFmw2,0.9867
BAFAunp,ESSFmwp,0.9913
BAFAunp,ESSFmww,0.9933
BAFAunp,ESSFun,0.9706
BAFAunp,ESSFunp,0.9647
BAFAunp,ESSFvc,0.9848
BAFAunp,ESSFvcp,0.9793
BAFAunp,ESSFvcw,0.9854
BAFAunp,ESSFwc2,0.9879
BAFAunp,ESSFwc3,0.9805
BAFAunp,ESSFwc4,0.9886
BAFAunp,ESSFwcp,0.9808
BAFAunp,ESSFwcw,0.9879
BAFAunp,ESSFwh1,0.9834
BAFAunp,ESSFwh2,0.9792
BAFAunp,ESSFwh3,0.9788
BAFAunp,ESSFwk1,0.9841
BAFAunp,ESSFwk2,0.9737
BAFAunp,ESSFwm,0.9824
BAFAunp,ESSFwm1,0.9767
BAFAunp,ESSFwm2,0.9872
BAFAunp,ESSFwm3,0.9837
BAFAunp,ESSFwm4,0.9795
BAFAunp,ESSFwmp,0.9794
BAFAunp,ESSFwmw,0.9849
BAFAunp,ESSFwv,0.9784
BAFAunp,ESSFwvp,0.9756
BAFAunp,ESSFxc1,0.9696
BAFAunp,ESSFxc2,0.9775
BAFAunp,ESSFxc3,0.9776
BAFAunp,ESSFxcp,0.9785
BAFAunp,ESSFxcw,0.9827
BAFAunp,ESSFxv1,0.9912
BAFAunp,ESSFxv2,0.9872
BAFAunp,ESSFxvp,0.9866
BAFAunp,ESSFxvw,0.9853
BAFAunp,ICHdk,0.9340
BAFAunp,ICHdm,0.9512
BAFAunp,ICHdw1,0.9034
BAFAunp,ICHdw3,0.9257
BAFAunp,ICHdw4,0.8849
BAFAunp,ICHmc1,0.9605
BAFAunp,ICHmc2,0.9386
BAFAunp,ICHmk1,0.9388
BAFAunp,ICHmk2,0.9414
BAFAunp,ICHmk3,0.9461
BAFAunp,ICHmk4,0.9560
BAFAunp,ICHmm,0.9691
BAFAunp,ICHmw1,0.9602
BAFAunp,ICHmw2,0.9440
BAFAunp,ICHmw3,0.9428
BAFAunp,ICHmw4,0.9615
BAFAunp,ICHmw5,0.9480
BAFAunp,ICHvc,0.9655
BAFAunp,ICHvk1,0.9727
BAFAunp,ICHvk2,0.9686
BAFAunp,ICHwc,0.9652
