BECvarfut_plantation,BECvar_seed,HTp_pred
BAFAunp,ESSFxcp,0.9467
BAFAunp,ESSFxcw,0.9570
BAFAunp,ESSFxv1,0.9780
BAFAunp,ESSFxv2,0.9680
BAFAunp,ESSFxvp,0.9665
BAFAunp,ESSFxvw,0.9634
BAFAunp,ICHdk,0.8419
BAFAunp,ICHdm,0.8815
BAFAunp,ICHdw1,0.7740
BAFAunp,ICHdw3,0.8232
BAFAunp,ICHdw4,0.7347
BAFAunp,ICHmc1,0.9034
BAFAunp,ICHmc2,0.8523
BAFAunp,ICHmk1,0.8528
BAFAunp,ICHmk2,0.8588
BAFAunp,ICHmk3,0.8697
BAFAunp,ICHmk4,0.8928
BAFAunp,ICHmm,0.9239
BAFAunp,ICHmw1,0.9026
BAFAunp,ICHmw2,0.8647
BAFAunp,ICHmw3,0.8620
BAFAunp,ICHmw4,0.9058
BAFAunp,ICHmw5,0.8739
BAFAunp,ICHvc,0.9153
BAFAunp,ICHvk1,0.9327
BAFAunp,ICHvk2,0.9227
BAFAunp,ICHwc,0.9146
BAFAunp,ICHwk1,0.9217
BAFAunp,ICHwk2,0.8813
BAFAunp,ICHwk3,0.9091
BAFAunp,ICHwk4,0.9176
BAFAunp,ICHxw,0.6610
BAFAunp,IDFdc,0.8322
BAFAunp,IDFdk1,0.7624
BAFAunp,IDFdk2,0.8037
BAFAunp,IDFdk3,0.7639
BAFAunp,IDFdk4,0.7621
BAFAunp,IDFdk5,0.7487
BAFAunp,IDFdm1,0.7157
BAFAunp,IDFdm2,0.7018
BAFAunp,IDFdw,0.8338
BAFAunp,IDFmw1,0.7114
BAFAunp,IDFmw2,0.7153
BAFAunp,IDFww,0.8081
BAFAunp,IDFww1,0.6763
BAFAunp,IDFxc,0.6404
BAFAunp,IDFxh1,0.6155
BAFAunp,IDFxh2,0.6415
BAFAunp,IDFxh4,0.5797
BAFAunp,IDFxk,0.6189
BAFAunp,IDFxm,0.6892
BAFAunp,IDFxw,0.6345
BAFAunp,IMAun,0.9170
BAFAunp,IMAunp,0.9837
BAFAunp,MHmm1,0.9067
BAFAunp,MHmm2,0.9775
BAFAunp,MHmmp,0.9388
BAFAunp,MHun,0.8638
BAFAunp,MHunp,0.8367
BAFAunp,MHwh,0.8477
BAFAunp,MHwh1,0.8461
BAFAunp,MHwhp,0.8538
BAFAunp,MSdc1,0.9213
BAFAunp,MSdc2,0.9478
BAFAunp,MSdc3,0.9502
BAFAunp,MSdk1,0.8763
BAFAunp,MSdk2,0.8708
BAFAunp,MSdm1,0.8759
BAFAunp,MSdm2,0.8915
BAFAunp,MSdm3,0.8541
BAFAunp,MSdv,0.9517
BAFAunp,MSmw1,0.9208
BAFAunp,MSmw2,0.8997
BAFAunp,MSun,0.9901
BAFAunp,MSxk1,0.8795
BAFAunp,MSxk2,0.8146
BAFAunp,MSxk3,0.8792
BAFAunp,MSxv,0.9102
BAFAunp,PPdh2,0.5992
BAFAunp,PPxh1,0.4078
BAFAunp,PPxh2,0.4693
BAFAunp,PPxh3,0.5634
BAFAunp,SBPSdc,0.8065
BAFAunp,SBPSmc,0.8450
BAFAunp,SBPSmk,0.8338
BAFAunp,SBPSxc,0.8236
BAFAunp,SBSdh1,0.8419
BAFAunp,SBSdh2,0.9146
BAFAunp,SBSdk,0.8034
BAFAunp,SBSdw1,0.8179
BAFAunp,SBSdw2,0.8126
BAFAunp,SBSdw3,0.8188
BAFAunp,SBSmc1,0.9076
BAFAunp,SBSmc2,0.8722
BAFAunp,SBSmc3,0.8565
BAFAunp,SBSmh,0.7571
BAFAunp,SBSmk1,0.8725
BAFAunp,SBSmk2,0.7824
BAFAunp,SBSmm,0.8981
BAFAunp,SBSmw,0.8419
BAFAunp,SBSun,0.8850
BAFAunp,SBSvk,0.9183
BAFAunp,SBSwk1,0.9066
BAFAunp,SBSwk2,0.8808
BAFAunp,SBSwk3,0.8581
BAFAunp,SWBmk,0.8169
BAFAunp,SWBmks,0.8542
BAFAunp,SWBun,0.7716
BAFAunp,SWBuns,0.7907
BAFAunp,SWBvk,0.8477
BAFAunp,SWBvks,0.8021
BGxh1,BAFAun,0.0852
BGxh1,BAFAunp,0.1380
BGxh1,BGxh1,0.9491
BGxh1,BGxh2,0.8490
BGxh1,BGxh3,0.7802
BGxh1,BGxw1,0.6959
BGxh1,BGxw2,0.6437
BGxh1,BWBSdk,0.2405
BGxh1,BWBSmk,0.2329
BGxh1,BWBSmw,0.3308
BGxh1,BWBSvk,0.1604
BGxh1,BWBSwk1,0.2804
BGxh1,BWBSwk2,0.2673
BGxh1,BWBSwk3,0.1952
BGxh1,CDFmm,0.6678
BGxh1,CMAun,0.0670
BGxh1,CMAunp,0.1009
BGxh1,CMAwh,0.0945
BGxh1,CWHdm,0.3979
BGxh1,CWHds1,0.3792
BGxh1,CWHds2,0.3660
BGxh1,CWHmm1,0.2874
BGxh1,CWHmm2,0.2396
BGxh1,CWHms1,0.2559
BGxh1,CWHms2,0.2632
BGxh1,CWHun,0.3261
BGxh1,CWHvh1,0.2744
BGxh1,CWHvh2,0.1904
BGxh1,CWHvh3,0.2128
BGxh1,CWHvm1,0.2360
BGxh1,CWHvm2,0.1697
BGxh1,CWHwh1,0.2896
BGxh1,CWHwh2,0.1739
BGxh1,CWHwm,0.1839
BGxh1,CWHws1,0.2910
BGxh1,CWHws2,0.2155
BGxh1,CWHxm1,0.5149
BGxh1,CWHxm2,0.3568
BGxh1,ESSFdc1,0.2424
BGxh1,ESSFdc2,0.2753
BGxh1,ESSFdc3,0.2934
BGxh1,ESSFdcp,0.1763
BGxh1,ESSFdcw,0.1968
BGxh1,ESSFdk1,0.2251
BGxh1,ESSFdk2,0.1990
BGxh1,ESSFdkp,0.1310
BGxh1,ESSFdkw,0.1570
BGxh1,ESSFdv1,0.2403
BGxh1,ESSFdv2,0.2110
BGxh1,ESSFdvp,0.1511
BGxh1,ESSFdvw,0.1815
BGxh1,ESSFmc,0.1970
BGxh1,ESSFmcp,0.1219
BGxh1,ESSFmh,0.2972
BGxh1,ESSFmk,0.1932
BGxh1,ESSFmkp,0.1383
BGxh1,ESSFmm1,0.1716
BGxh1,ESSFmm2,0.1701
BGxh1,ESSFmmp,0.1312
BGxh1,ESSFmmw,0.1705
BGxh1,ESSFmv1,0.2779
BGxh1,ESSFmv2,0.1915
BGxh1,ESSFmv3,0.1905
BGxh1,ESSFmv4,0.1966
BGxh1,ESSFmvp,0.1426
BGxh1,ESSFmw,0.2188
BGxh1,ESSFmw1,0.2372
BGxh1,ESSFmw2,0.2522
BGxh1,ESSFmwp,0.1583
BGxh1,ESSFmww,0.2022
BGxh1,ESSFun,0.1353
BGxh1,ESSFunp,0.1042
BGxh1,ESSFvc,0.1785
BGxh1,ESSFvcp,0.1152
BGxh1,ESSFvcw,0.1403
BGxh1,ESSFwc2,0.1870
BGxh1,ESSFwc3,0.1482
BGxh1,ESSFwc4,0.1915
BGxh1,ESSFwcp,0.1249
BGxh1,ESSFwcw,0.1492
BGxh1,ESSFwh1,0.2258
BGxh1,ESSFwh2,0.2502
BGxh1,ESSFwh3,0.2110
BGxh1,ESSFwk1,0.2207
BGxh1,ESSFwk2,0.1680
BGxh1,ESSFwm,0.1766
BGxh1,ESSFwm1,0.2203
BGxh1,ESSFwm2,0.2059
BGxh1,ESSFwm3,0.1682
BGxh1,ESSFwm4,0.2462
BGxh1,ESSFwmp,0.1286
BGxh1,ESSFwmw,0.1573
BGxh1,ESSFwv,0.1894
BGxh1,ESSFwvp,0.1418
BGxh1,ESSFxc1,0.2778
BGxh1,ESSFxc2,0.2641
BGxh1,ESSFxc3,0.2441
BGxh1,ESSFxcp,0.1919
BGxh1,ESSFxcw,0.2071
BGxh1,ESSFxv1,0.1934
BGxh1,ESSFxv2,0.1857
BGxh1,ESSFxvp,0.1423
BGxh1,ESSFxvw,0.1841
BGxh1,ICHdk,0.4040
BGxh1,ICHdm,0.3536
BGxh1,ICHdw1,0.4685
BGxh1,ICHdw3,0.4147
BGxh1,ICHdw4,0.5219
BGxh1,ICHmc1,0.2855
BGxh1,ICHmc2,0.3716
BGxh1,ICHmk1,0.4060
BGxh1,ICHmk2,0.3986
BGxh1,ICHmk3,0.3690
BGxh1,ICHmk4,0.3188
BGxh1,ICHmm,0.2784
BGxh1,ICHmw1,0.3056
BGxh1,ICHmw2,0.3610
BGxh1,ICHmw3,0.3607
BGxh1,ICHmw4,0.2826
BGxh1,ICHmw5,0.3717
BGxh1,ICHvc,0.2505
BGxh1,ICHvk1,0.2405
BGxh1,ICHvk2,0.2316
BGxh1,ICHwc,0.2163
BGxh1,ICHwk1,0.2779
BGxh1,ICHwk2,0.3414
BGxh1,ICHwk3,0.2798
BGxh1,ICHwk4,0.2809
BGxh1,ICHxw,0.5961
BGxh1,IDFdc,0.4203
BGxh1,IDFdk1,0.4792
BGxh1,IDFdk2,0.4592
BGxh1,IDFdk3,0.4719
BGxh1,IDFdk4,0.4430
BGxh1,IDFdk5,0.4778
BGxh1,IDFdm1,0.5529
BGxh1,IDFdm2,0.5494
BGxh1,IDFdw,0.3936
BGxh1,IDFmw1,0.5648
BGxh1,IDFmw2,0.5521
BGxh1,IDFww,0.4356
BGxh1,IDFww1,0.5798
BGxh1,IDFxc,0.6109
BGxh1,IDFxh1,0.6630
BGxh1,IDFxh2,0.6064
BGxh1,IDFxh4,0.6903
BGxh1,IDFxk,0.6041
BGxh1,IDFxm,0.5383
BGxh1,IDFxw,0.6027
BGxh1,IMAun,0.0976
BGxh1,IMAunp,0.1585
BGxh1,MHmm1,0.1405
BGxh1,MHmm2,0.1553
BGxh1,MHmmp,0.1084
BGxh1,MHun,0.1541
BGxh1,MHunp,0.0817
BGxh1,MHwh,0.1294
BGxh1,MHwh1,0.1157
BGxh1,MHwhp,0.1000
BGxh1,MSdc1,0.3177
BGxh1,MSdc2,0.2651
BGxh1,MSdc3,0.2774
BGxh1,MSdk1,0.3504
BGxh1,MSdk2,0.3318
BGxh1,MSdm1,0.3766
BGxh1,MSdm2,0.3549
BGxh1,MSdm3,0.3976
BGxh1,MSdv,0.2466
BGxh1,MSmw1,0.3122
BGxh1,MSmw2,0.3557
BGxh1,MSun,0.2151
BGxh1,MSxk1,0.3580
BGxh1,MSxk2,0.4041
BGxh1,MSxk3,0.3305
BGxh1,MSxv,0.2837
BGxh1,PPdh2,0.6525
BGxh1,PPxh1,0.8572
BGxh1,PPxh2,0.7637
BGxh1,PPxh3,0.7050
BGxh1,SBPSdc,0.3885
BGxh1,SBPSmc,0.3612
BGxh1,SBPSmk,0.3836
BGxh1,SBPSxc,0.3779
BGxh1,SBSdh1,0.3862
BGxh1,SBSdh2,0.2509
BGxh1,SBSdk,0.3951
BGxh1,SBSdw1,0.4208
BGxh1,SBSdw2,0.4110
BGxh1,SBSdw3,0.3689
BGxh1,SBSmc1,0.3212
BGxh1,SBSmc2,0.3160
BGxh1,SBSmc3,0.3427
BGxh1,SBSmh,0.4701
BGxh1,SBSmk1,0.2885
BGxh1,SBSmk2,0.3148
BGxh1,SBSmm,0.3354
BGxh1,SBSmw,0.3788
BGxh1,SBSun,0.1944
BGxh1,SBSvk,0.2290
BGxh1,SBSwk1,0.2734
BGxh1,SBSwk2,0.2419
BGxh1,SBSwk3,0.3027
BGxh1,SWBmk,0.1770
BGxh1,SWBmks,0.1341
BGxh1,SWBun,0.1687
BGxh1,SWBuns,0.1358
BGxh1,SWBvk,0.1033
BGxh1,SWBvks,0.0689
BGxh2,BAFAun,0.1615
BGxh2,BAFAunp,0.2414
BGxh2,BGxh1,0.9877
BGxh2,BGxh2,0.9747
BGxh2,BGxh3,0.9386
BGxh2,BGxw1,0.8755
BGxh2,BGxw2,0.8348
BGxh2,BWBSdk,0.3965
BGxh2,BWBSmk,0.3772
BGxh2,BWBSmw,0.5043
BGxh2,BWBSvk,0.2728
BGxh2,BWBSwk1,0.4419
BGxh2,BWBSwk2,0.4210
BGxh2,BWBSwk3,0.3247
BGxh2,CDFmm,0.6972
BGxh2,CMAun,0.1296
BGxh2,CMAunp,0.1794
BGxh2,CMAwh,0.1617
BGxh2,CWHdm,0.4966
BGxh2,CWHds1,0.5198
BGxh2,CWHds2,0.5340
BGxh2,CWHmm1,0.4002
BGxh2,CWHmm2,0.3541
BGxh2,CWHms1,0.3895
BGxh2,CWHms2,0.3838
BGxh2,CWHun,0.4991
BGxh2,CWHvh1,0.3481
BGxh2,CWHvh2,0.2804
BGxh2,CWHvh3,0.3040
BGxh2,CWHvm1,0.3347
BGxh2,CWHvm2,0.2665
BGxh2,CWHwh1,0.3905
BGxh2,CWHwh2,0.2655
BGxh2,CWHwm,0.3043
BGxh2,CWHws1,0.4397
BGxh2,CWHws2,0.3476
BGxh2,CWHxm1,0.6024
BGxh2,CWHxm2,0.4705
BGxh2,ESSFdc1,0.3856
BGxh2,ESSFdc2,0.4296
BGxh2,ESSFdc3,0.4547
BGxh2,ESSFdcp,0.2955
BGxh2,ESSFdcw,0.3237
BGxh2,ESSFdk1,0.3639
BGxh2,ESSFdk2,0.3288
BGxh2,ESSFdkp,0.2294
BGxh2,ESSFdkw,0.2680
BGxh2,ESSFdv1,0.3843
BGxh2,ESSFdv2,0.3456
BGxh2,ESSFdvp,0.2582
BGxh2,ESSFdvw,0.3027
BGxh2,ESSFmc,0.3336
BGxh2,ESSFmcp,0.2210
BGxh2,ESSFmh,0.4560
BGxh2,ESSFmk,0.3245
BGxh2,ESSFmkp,0.2430
BGxh2,ESSFmm1,0.2916
BGxh2,ESSFmm2,0.2904
BGxh2,ESSFmmp,0.2316
BGxh2,ESSFmmw,0.2918
BGxh2,ESSFmv1,0.4400
BGxh2,ESSFmv2,0.3229
BGxh2,ESSFmv3,0.3246
BGxh2,ESSFmv4,0.3316
