BECvarfut_plantation,BECvar_seed,HTp_pred
BGxh1,MHmm2,0.2094
BGxh1,MHmmp,0.1548
BGxh1,MHun,0.2081
BGxh1,MHunp,0.1222
BGxh1,MHwh,0.1796
BGxh1,MHwh1,0.1635
BGxh1,MHwhp,0.1446
BGxh1,MSdc1,0.3819
BGxh1,MSdc2,0.3281
BGxh1,MSdc3,0.3408
BGxh1,MSdk1,0.4146
BGxh1,MSdk2,0.3962
BGxh1,MSdm1,0.4405
BGxh1,MSdm2,0.4192
BGxh1,MSdm3,0.4611
BGxh1,MSdv,0.3087
BGxh1,MSmw1,0.3764
BGxh1,MSmw2,0.4199
BGxh1,MSun,0.2753
BGxh1,MSxk1,0.4222
BGxh1,MSxk2,0.4674
BGxh1,MSxk3,0.3949
BGxh1,MSxv,0.3473
BGxh1,PPdh2,0.6988
BGxh1,PPxh1,0.8786
BGxh1,PPxh2,0.7975
BGxh1,PPxh3,0.7457
BGxh1,SBPSdc,0.4522
BGxh1,SBPSmc,0.4254
BGxh1,SBPSmk,0.4474
BGxh1,SBPSxc,0.4418
BGxh1,SBSdh1,0.4499
BGxh1,SBSdh2,0.3133
BGxh1,SBSdk,0.4586
BGxh1,SBSdw1,0.4836
BGxh1,SBSdw2,0.4741
BGxh1,SBSdw3,0.4330
BGxh1,SBSmc1,0.3855
BGxh1,SBSmc2,0.3803
BGxh1,SBSmc3,0.4071
BGxh1,SBSmh,0.5306
BGxh1,SBSmk1,0.3523
BGxh1,SBSmk2,0.3791
BGxh1,SBSmm,0.3997
BGxh1,SBSmw,0.4427
BGxh1,SBSun,0.2529
BGxh1,SBSvk,0.2902
BGxh1,SBSwk1,0.3367
BGxh1,SBSwk2,0.3039
BGxh1,SBSwk3,0.3668
BGxh1,SWBmk,0.2337
BGxh1,SWBmks,0.1852
BGxh1,SWBun,0.2245
BGxh1,SWBuns,0.1872
BGxh1,SWBvk,0.1487
BGxh1,SWBvks,0.1058
BGxh2,BAFAun,0.1744
BGxh2,BAFAunp,0.2563
BGxh2,BGxh1,0.9882
BGxh2,BGxh2,0.9758
BGxh2,BGxh3,0.9411
BGxh2,BGxw1,0.8804
BGxh2,BGxw2,0.8412
BGxh2,BWBSdk,0.4123
BGxh2,BWBSmk,0.3931
BGxh2,BWBSmw,0.5191
BGxh2,BWBSvk,0.2881
BGxh2,BWBSwk1,0.4573
BGxh2,BWBSwk2,0.4366
BGxh2,BWBSwk3,0.3405
BGxh2,CDFmm,0.7081
BGxh2,CMAun,0.1412
BGxh2,CMAunp,0.1928
BGxh2,CMAwh,0.1746
BGxh2,CWHdm,0.5115
BGxh2,CWHds1,0.5343
BGxh2,CWHds2,0.5483
BGxh2,CWHmm1,0.4159
BGxh2,CWHmm2,0.3699
BGxh2,CWHms1,0.4053
BGxh2,CWHms2,0.3995
BGxh2,CWHun,0.5140
BGxh2,CWHvh1,0.3640
BGxh2,CWHvh2,0.2958
BGxh2,CWHvh3,0.3196
BGxh2,CWHvm1,0.3505
BGxh2,CWHvm2,0.2817
BGxh2,CWHwh1,0.4063
BGxh2,CWHwh2,0.2807
BGxh2,CWHwm,0.3198
BGxh2,CWHws1,0.4551
BGxh2,CWHws2,0.3633
BGxh2,CWHxm1,0.6155
BGxh2,CWHxm2,0.4857
BGxh2,ESSFdc1,0.4014
BGxh2,ESSFdc2,0.4451
BGxh2,ESSFdc3,0.4700
BGxh2,ESSFdcp,0.3111
BGxh2,ESSFdcw,0.3394
BGxh2,ESSFdk1,0.3797
BGxh2,ESSFdk2,0.3446
BGxh2,ESSFdkp,0.2441
BGxh2,ESSFdkw,0.2832
BGxh2,ESSFdv1,0.4001
BGxh2,ESSFdv2,0.3615
BGxh2,ESSFdvp,0.2734
BGxh2,ESSFdvw,0.3184
BGxh2,ESSFmc,0.3493
BGxh2,ESSFmcp,0.2355
BGxh2,ESSFmh,0.4713
BGxh2,ESSFmk,0.3403
BGxh2,ESSFmkp,0.2579
BGxh2,ESSFmm1,0.3071
BGxh2,ESSFmm2,0.3059
BGxh2,ESSFmmp,0.2463
BGxh2,ESSFmmw,0.3074
BGxh2,ESSFmv1,0.4555
BGxh2,ESSFmv2,0.3386
BGxh2,ESSFmv3,0.3403
BGxh2,ESSFmv4,0.3474
BGxh2,ESSFmvp,0.2669
BGxh2,ESSFmw,0.3703
BGxh2,ESSFmw1,0.3924
BGxh2,ESSFmw2,0.4146
BGxh2,ESSFmwp,0.2839
BGxh2,ESSFmww,0.3459
BGxh2,ESSFun,0.2572
BGxh2,ESSFunp,0.2066
BGxh2,ESSFvc,0.3165
BGxh2,ESSFvcp,0.2211
BGxh2,ESSFvcw,0.2601
BGxh2,ESSFwc2,0.3291
BGxh2,ESSFwc3,0.2746
BGxh2,ESSFwc4,0.3329
BGxh2,ESSFwcp,0.2370
BGxh2,ESSFwcw,0.2730
BGxh2,ESSFwh1,0.3795
BGxh2,ESSFwh2,0.4132
BGxh2,ESSFwh3,0.3563
BGxh2,ESSFwk1,0.3744
BGxh2,ESSFwk2,0.3057
BGxh2,ESSFwm,0.3162
BGxh2,ESSFwm1,0.3722
BGxh2,ESSFwm2,0.3539
BGxh2,ESSFwm3,0.2977
BGxh2,ESSFwm4,0.4070
BGxh2,ESSFwmp,0.2415
BGxh2,ESSFwmw,0.2846
BGxh2,ESSFwv,0.3348
BGxh2,ESSFwvp,0.2640
BGxh2,ESSFxc1,0.4458
BGxh2,ESSFxc2,0.4303
BGxh2,ESSFxc3,0.4061
BGxh2,ESSFxcp,0.3321
BGxh2,ESSFxcw,0.3536
BGxh2,ESSFxv1,0.3377
BGxh2,ESSFxv2,0.3271
BGxh2,ESSFxvp,0.2613
BGxh2,ESSFxvw,0.3240
BGxh2,ICHdk,0.5993
BGxh2,ICHdm,0.5403
BGxh2,ICHdw1,0.6533
BGxh2,ICHdw3,0.6105
BGxh2,ICHdw4,0.7123
BGxh2,ICHmc1,0.4618
BGxh2,ICHmc2,0.5656
BGxh2,ICHmk1,0.5987
