BECvarfut_plantation,BECvar_seed,HTp_pred
BAFAunp,ICHdw4,0.9137
BAFAunp,ICHmc1,0.9707
BAFAunp,ICHmc2,0.9542
BAFAunp,ICHmk1,0.9544
BAFAunp,ICHmk2,0.9563
BAFAunp,ICHmk3,0.9599
BAFAunp,ICHmk4,0.9673
BAFAunp,ICHmm,0.9771
BAFAunp,ICHmw1,0.9704
BAFAunp,ICHmw2,0.9583
BAFAunp,ICHmw3,0.9575
BAFAunp,ICHmw4,0.9714
BAFAunp,ICHmw5,0.9613
BAFAunp,ICHvc,0.9744
BAFAunp,ICHvk1,0.9798
BAFAunp,ICHvk2,0.9767
BAFAunp,ICHwc,0.9741
BAFAunp,ICHwk1,0.9764
BAFAunp,ICHwk2,0.9637
BAFAunp,ICHwk3,0.9725
BAFAunp,ICHwk4,0.9751
BAFAunp,ICHxw,0.8858
BAFAunp,IDFdc,0.9474
BAFAunp,IDFdk1,0.9233
BAFAunp,IDFdk2,0.9378
BAFAunp,IDFdk3,0.9240
BAFAunp,IDFdk4,0.9233
BAFAunp,IDFdk5,0.9186
BAFAunp,IDFdm1,0.9065
BAFAunp,IDFdm2,0.9014
BAFAunp,IDFdw,0.9480
BAFAunp,IDFmw1,0.9050
BAFAunp,IDFmw2,0.9065
BAFAunp,IDFww,0.9394
BAFAunp,IDFww1,0.8915
BAFAunp,IDFxc,0.8773
BAFAunp,IDFxh1,0.8673
BAFAunp,IDFxh2,0.8778
BAFAunp,IDFxh4,0.8522
BAFAunp,IDFxk,0.8686
BAFAunp,IDFxm,0.8965
BAFAunp,IDFxw,0.8750
BAFAunp,IMAun,0.9749
BAFAunp,IMAunp,0.9952
BAFAunp,MHmm1,0.0000
BAFAunp,MHmm2,0.9933
BAFAunp,MHmmp,0.9815
BAFAunp,MHun,0.9579
BAFAunp,MHunp,0.9490
BAFAunp,MHwh,0.0000
BAFAunp,MHwh1,0.0000
BAFAunp,MHwhp,0.0000
BAFAunp,MSdc1,0.9762
BAFAunp,MSdc2,0.9844
BAFAunp,MSdc3,0.9851
BAFAunp,MSdk1,0.9620
BAFAunp,MSdk2,0.9602
BAFAunp,MSdm1,0.9619
BAFAunp,MSdm2,0.9668
