"Unadjusted, Lw current = 3",,,,Hw limited to 5%,,,,Hw limited to 0%,,,,Lw current =  2 Hw limited to 0%
,Spp,Risk,Weight,,Spp,Risk,Weight,,Spp,Risk,Weight,
161,Ba,34,0.00,161,Ba,34,0.01,161,Ba,34,0.02,
162,Bl,34,0.01,162,Bl,34,0.02,162,Bl,34,0.03,
163,Cw,34,0.00,163,Cw,34,0.11,163,Cw,34,0.14,
164,Fd,34,0.08,164,Fd,34,0.12,164,Fd,34,0.12,
165,Hw,34,0.33,165,Hw,34,0.05,165,Hw,34,0.00,
166,Lw,34,0.07,166,Lw,34,0.09,166,Lw,34,0.09,
167,Pl,34,0.23,167,Pl,34,0.25,167,Pl,34,0.25,
168,Py,34,0.01,168,Py,34,0.01,168,Py,34,0.01,
169,Ss,34,0.00,169,Ss,34,0.01,169,Ss,34,0.02,
170,Sx,34,0.29,170,Sx,34,0.33,170,Sx,34,0.33,
171,Ba,36,0.00,171,Ba,36,0.02,171,Ba,36,0.02,
172,Bl,36,0.01,172,Bl,36,0.03,172,Bl,36,0.03,
173,Cw,36,0.00,173,Cw,36,0.11,173,Cw,36,0.14,
174,Fd,36,0.09,174,Fd,36,0.12,174,Fd,36,0.13,
175,Hw,36,0.32,175,Hw,36,0.05,175,Hw,36,0.00,
176,Lw,36,0.07,176,Lw,36,0.09,176,Lw,36,0.09,
177,Pl,36,0.23,177,Pl,36,0.25,177,Pl,36,0.24,
178,Py,36,0.01,178,Py,36,0.02,178,Py,36,0.02,
179,Ss,36,0.00,179,Ss,36,0.02,179,Ss,36,0.02,
180,Sx,36,0.29,180,Sx,36,0.32,180,Sx,36,0.32,
181,Ba,38,0.00,181,Ba,38,0.02,181,Ba,38,0.03,
182,Bl,38,0.01,182,Bl,38,0.03,182,Bl,38,0.03,
183,Cw,38,0.00,183,Cw,38,0.11,183,Cw,38,0.14,
184,Fd,38,0.09,184,Fd,38,0.12,184,Fd,38,0.13,
185,Hw,38,0.32,185,Hw,38,0.05,185,Hw,38,0.00,
186,Lw,38,0.06,186,Lw,38,0.09,186,Lw,38,0.08,
187,Pl,38,0.22,187,Pl,38,0.24,187,Pl,38,0.24,
188,Py,38,0.02,188,Py,38,0.02,188,Py,38,0.02,
189,Ss,38,0.00,189,Ss,38,0.02,189,Ss,38,0.03,
190,Sx,38,0.28,190,Sx,38,0.31,190,Sx,38,0.32,
191,Ba,40,0.00,191,Ba,40,0.02,191,Ba,40,0.03,
192,Bl,40,0.01,192,Bl,40,0.03,192,Bl,40,0.03,
193,Cw,40,0.00,193,Cw,40,0.11,193,Cw,40,0.14,
194,Fd,40,0.10,194,Fd,40,0.12,194,Fd,40,0.13,
195,Hw,40,0.32,195,Hw,40,0.05,195,Hw,40,0.00,
196,Lw,40,0.06,196,Lw,40,0.08,196,Lw,40,0.08,
197,Pl,40,0.22,197,Pl,40,0.24,197,Pl,40,0.23,
198,Py,40,0.02,198,Py,40,0.03,198,Py,40,0.03,
199,Ss,40,0.00,199,Ss,40,0.03,199,Ss,40,0.03,
200,Sx,40,0.28,200,Sx,40,0.31,200,Sx,40,0.31,
201,Ba,42,0.00,201,Ba,42,0.03,201,Ba,42,0.04,
202,Bl,42,0.02,202,Bl,42,0.03,202,Bl,42,0.03,
203,Cw,42,0.00,203,Cw,42,0.11,203,Cw,42,0.13,
204,Fd,42,0.10,204,Fd,42,0.12,204,Fd,42,0.13,
205,Hw,42,0.31,205,Hw,42,0.05,205,Hw,42,0.00,
206,Lw,42,0.06,206,Lw,42,0.08,206,Lw,42,0.08,
207,Pl,42,0.22,207,Pl,42,0.23,207,Pl,42,0.23,
208,Py,42,0.03,208,Py,42,0.03,208,Py,42,0.03,
209,Ss,42,0.00,209,Ss,42,0.03,209,Ss,42,0.04,
210,Sx,42,0.28,210,Sx,42,0.30,210,Sx,42,0.30,
211,Ba,44,0.00,211,Ba,44,0.03,211,Ba,44,0.04,
212,Bl,44,0.02,212,Bl,44,0.03,212,Bl,44,0.04,
213,Cw,44,0.00,213,Cw,44,0.10,213,Cw,44,0.13,
214,Fd,44,0.10,214,Fd,44,0.13,214,Fd,44,0.13,
215,Hw,44,0.31,215,Hw,44,0.05,215,Hw,44,0.00,
216,Lw,44,0.06,216,Lw,44,0.07,216,Lw,44,0.07,
217,Pl,44,0.22,217,Pl,44,0.23,217,Pl,44,0.23,
218,Py,44,0.03,218,Py,44,0.03,218,Py,44,0.03,
219,Ss,44,0.00,219,Ss,44,0.04,219,Ss,44,0.04,
220,Sx,44,0.27,220,Sx,44,0.29,220,Sx,44,0.30,
221,Ba,46,0.00,221,Ba,46,0.03,221,Ba,46,0.04,
222,Bl,46,0.02,222,Bl,46,0.04,222,Bl,46,0.04,
223,Cw,46,0.00,223,Cw,46,0.10,223,Cw,46,0.13,
224,Fd,46,0.11,224,Fd,46,0.13,224,Fd,46,0.13,
225,Hw,46,0.31,225,Hw,46,0.05,225,Hw,46,0.00,
226,Lw,46,0.06,226,Lw,46,0.07,226,Lw,46,0.07,
227,Pl,46,0.21,227,Pl,46,0.22,227,Pl,46,0.22,
228,Py,46,0.04,228,Py,46,0.04,228,Py,46,0.04,
229,Ss,46,0.00,229,Ss,46,0.04,229,Ss,46,0.05,
230,Sx,46,0.27,230,Sx,46,0.29,230,Sx,46,0.29,
231,Ba,48,0.00,231,Ba,48,0.04,231,Ba,48,0.05,
232,Bl,48,0.02,232,Bl,48,0.04,232,Bl,48,0.04,
233,Cw,48,0.00,233,Cw,48,0.10,233,Cw,48,0.12,
234,Fd,48,0.11,234,Fd,48,0.13,234,Fd,48,0.13,
235,Hw,48,0.31,235,Hw,48,0.05,235,Hw,48,0.00,
236,Lw,48,0.05,236,Lw,48,0.07,236,Lw,48,0.07,
237,Pl,48,0.21,237,Pl,48,0.22,237,Pl,48,0.22,
238,Py,48,0.04,238,Py,48,0.04,238,Py,48,0.04,
239,Ss,48,0.00,239,Ss,48,0.05,239,Ss,48,0.05,
240,Sx,48,0.27,240,Sx,48,0.28,240,Sx,48,0.28,
241,Ba,50,0.00,241,Ba,50,0.04,241,Ba,50,0.05,
242,Bl,50,0.02,242,Bl,50,0.04,242,Bl,50,0.04,
243,Cw,50,0.00,243,Cw,50,0.10,243,Cw,50,0.12,
244,Fd,50,0.11,244,Fd,50,0.13,244,Fd,50,0.13,
245,Hw,50,0.30,245,Hw,50,0.05,245,Hw,50,0.00,
246,Lw,50,0.05,246,Lw,50,0.07,246,Lw,50,0.06,
247,Pl,50,0.21,247,Pl,50,0.22,247,Pl,50,0.21,
248,Py,50,0.05,248,Py,50,0.05,248,Py,50,0.04,
249,Ss,50,0.00,249,Ss,50,0.05,249,Ss,50,0.06,
250,Sx,50,0.26,250,Sx,50,0.28,250,Sx,50,0.28,
