BECvar_site,BECvar_seed,HTp_pred
BAFAunp,ESSFmw2,0.9194
BAFAunp,ESSFmwp,0.9861
BAFAunp,ESSFmww,0.9591
BAFAunp,ESSFun,0.9188
BAFAunp,ESSFunp,0.9287
BAFAunp,ESSFvc,0.9227
BAFAunp,ESSFvcp,0.9644
BAFAunp,ESSFvcw,0.9570
BAFAunp,ESSFwc2,0.9415
BAFAunp,ESSFwc3,0.9493
BAFAunp,ESSFwc4,0.9369
BAFAunp,ESSFwcp,0.9686
BAFAunp,ESSFwcw,0.9686
BAFAunp,ESSFwh1,0.8990
BAFAunp,ESSFwh2,0.8864
BAFAunp,ESSFwh3,0.8824
BAFAunp,ESSFwk1,0.9182
BAFAunp,ESSFwk2,0.9146
BAFAunp,ESSFwm,0.9468
BAFAunp,ESSFwm1,0.8994
BAFAunp,ESSFwm2,0.9371
BAFAunp,ESSFwm3,0.9274
BAFAunp,ESSFwm4,0.8953
BAFAunp,ESSFwmp,0.9707
BAFAunp,ESSFwmw,0.9621
BAFAunp,ESSFwv,0.9292
BAFAunp,ESSFwvp,0.9516
BAFAunp,ESSFxc1,0.8789
BAFAunp,ESSFxc2,0.9061
BAFAunp,ESSFxc3,0.9205
BAFAunp,ESSFxcp,0.9504
BAFAunp,ESSFxcw,0.9493
BAFAunp,ESSFxv1,0.9753
BAFAunp,ESSFxv2,0.9706
BAFAunp,ESSFxvp,0.9912
BAFAunp,ESSFxvw,0.9669
BAFAunp,ICHdk,0.7373
BAFAunp,ICHdm,0.7785
BAFAunp,ICHdw1,0.6198
BAFAunp,ICHdw3,0.6959
BAFAunp,ICHdw4,0.5788
BAFAunp,ICHmc1,0.8247
BAFAunp,ICHmc2,0.7416
BAFAunp,ICHmk1,0.7402
BAFAunp,ICHmk2,0.7546
BAFAunp,ICHmk3,0.7716
BAFAunp,ICHmk4,0.8103
BAFAunp,ICHmm,0.8593
BAFAunp,ICHmw1,0.8252
BAFAunp,ICHmw2,0.7371
BAFAunp,ICHmw3,0.7403
BAFAunp,ICHmw4,0.8015
BAFAunp,ICHmw5,0.7590
BAFAunp,ICHvc,0.8476
BAFAunp,ICHvk1,0.8532
BAFAunp,ICHvk2,0.8542
BAFAunp,ICHwc,0.8538
BAFAunp,ICHwk1,0.8315
BAFAunp,ICHwk2,0.7832
BAFAunp,ICHwk3,0.8278
BAFAunp,ICHwk4,0.8386
BAFAunp,ICHxw,0.4922
BAFAunp,IDFdc,0.7166
BAFAunp,IDFdk1,0.6468
BAFAunp,IDFdk2,0.6805
BAFAunp,IDFdk3,0.6520
BAFAunp,IDFdk4,0.6620
BAFAunp,IDFdk5,0.6262
BAFAunp,IDFdm1,0.5750
BAFAunp,IDFdm2,0.5592
BAFAunp,IDFdw,0.7409
BAFAunp,IDFmw1,0.5575
BAFAunp,IDFmw2,0.5678
BAFAunp,IDFww,0.6600
BAFAunp,IDFww1,0.5184
BAFAunp,IDFxc,0.4876
BAFAunp,IDFxh1,0.4582
BAFAunp,IDFxh2,0.5003
BAFAunp,IDFxh4,0.4219
BAFAunp,IDFxk,0.4775
BAFAunp,IDFxm,0.5615
BAFAunp,IDFxw,0.4980
BAFAunp,IMAun,0.9543
BAFAunp,IMAunp,0.9833
BAFAunp,MHmm1,0.8266
BAFAunp,MHmm2,0.9435
BAFAunp,MHmmp,0.9226
BAFAunp,MHun,0.8366
BAFAunp,MHunp,0.8406
BAFAunp,MHwh,0.7492
BAFAunp,MHwh1,0.7539
BAFAunp,MHwhp,0.7778
BAFAunp,MSdc1,0.8457
BAFAunp,MSdc2,0.9093
BAFAunp,MSdc3,0.8960
BAFAunp,MSdk1,0.7826
BAFAunp,MSdk2,0.7943
BAFAunp,MSdm1,0.7793
BAFAunp,MSdm2,0.8018
BAFAunp,MSdm3,0.7580
BAFAunp,MSdv,0.9143
BAFAunp,MSmw1,0.8270
BAFAunp,MSmw2,0.8020
BAFAunp,MSun,0.9524
BAFAunp,MSxk1,0.7970
BAFAunp,MSxk2,0.7273
BAFAunp,MSxk3,0.8179
BAFAunp,MSxv,0.8699
BAFAunp,PPdh2,0.4482
BAFAunp,PPxh1,0.2600
BAFAunp,PPxh2,0.3201
BAFAunp,PPxh3,0.4022
BAFAunp,SBPSdc,0.7196
BAFAunp,SBPSmc,0.7690
BAFAunp,SBPSmk,0.7471
BAFAunp,SBPSxc,0.7443
BAFAunp,SBSdh1,0.7396
BAFAunp,SBSdh2,0.8720
BAFAunp,SBSdk,0.7105
BAFAunp,SBSdw1,0.7088
BAFAunp,SBSdw2,0.7106
BAFAunp,SBSdw3,0.7265
BAFAunp,SBSmc1,0.8366
BAFAunp,SBSmc2,0.8049
BAFAunp,SBSmc3,0.7871
BAFAunp,SBSmh,0.6270
BAFAunp,SBSmk1,0.8055
BAFAunp,SBSmk2,0.7048
BAFAunp,SBSmm,0.8236
BAFAunp,SBSmw,0.7424
BAFAunp,SBSun,0.8347
BAFAunp,SBSvk,0.8544
BAFAunp,SBSwk1,0.8339
BAFAunp,SBSwk2,0.8281
BAFAunp,SBSwk3,0.7919
BAFAunp,SWBmk,0.7979
BAFAunp,SWBmks,0.8667
BAFAunp,SWBun,0.7521
BAFAunp,SWBuns,0.7900
BAFAunp,SWBvk,0.8182
BAFAunp,SWBvks,0.7949
BGxh1,BAFAun,0.1548
BGxh1,BAFAunp,0.2344
BGxh1,BGxh1,1.0000
BGxh1,BGxh2,0.9672
BGxh1,BGxh3,0.9188
BGxh1,BGxw1,0.8661
BGxh1,BGxw2,0.8073
BGxh1,BWBSdk,0.3749
BGxh1,BWBSmk,0.3528
BGxh1,BWBSmw,0.4716
BGxh1,BWBSvk,0.2479
BGxh1,BWBSwk1,0.4123
BGxh1,BWBSwk2,0.3940
BGxh1,BWBSwk3,0.3026
BGxh1,CDFmm,0.6988
BGxh1,CMAun,0.1233
BGxh1,CMAunp,0.1729
BGxh1,CMAwh,0.1528
BGxh1,CWHdm,0.4719
BGxh1,CWHds1,0.4894
BGxh1,CWHds2,0.5003
BGxh1,CWHmm1,0.3797
BGxh1,CWHmm2,0.3373
BGxh1,CWHms1,0.3683
BGxh1,CWHms2,0.3571
BGxh1,CWHun,0.4860
BGxh1,CWHvh1,0.3339
BGxh1,CWHvh2,0.2605
BGxh1,CWHvh3,0.2856
BGxh1,CWHvm1,0.3135
BGxh1,CWHvm2,0.2490
BGxh1,CWHwh1,0.3688
BGxh1,CWHwh2,0.2495
BGxh1,CWHwm,0.2778
BGxh1,CWHws1,0.4043
BGxh1,CWHws2,0.3232
BGxh1,CWHxm1,0.5837
BGxh1,CWHxm2,0.4480
BGxh1,ESSFdc1,0.3711
