BECvar_site,BECvar_seed,HTp_pred
BAFAunp,ESSFwmp,0.9906
BAFAunp,ESSFwmw,0.9878
BAFAunp,ESSFwv,0.9769
BAFAunp,ESSFwvp,0.9843
BAFAunp,ESSFxc1,0.9597
BAFAunp,ESSFxc2,0.9690
BAFAunp,ESSFxc3,0.9739
BAFAunp,ESSFxcp,0.9839
BAFAunp,ESSFxcw,0.9835
BAFAunp,ESSFxv1,0.9921
BAFAunp,ESSFxv2,0.9905
BAFAunp,ESSFxvp,0.9972
BAFAunp,ESSFxvw,0.9893
BAFAunp,ICHdk,0.9074
BAFAunp,ICHdm,0.9233
BAFAunp,ICHdw1,0.8585
BAFAunp,ICHdw3,0.8908
BAFAunp,ICHdw4,0.8400
BAFAunp,ICHmc1,0.9404
BAFAunp,ICHmc2,0.9091
BAFAunp,ICHmk1,0.9085
BAFAunp,ICHmk2,0.9141
BAFAunp,ICHmk3,0.9207
BAFAunp,ICHmk4,0.9351
BAFAunp,ICHmm,0.9528
BAFAunp,ICHmw1,0.9406
BAFAunp,ICHmw2,0.9073
BAFAunp,ICHmw3,0.9086
BAFAunp,ICHmw4,0.9319
BAFAunp,ICHmw5,0.9158
BAFAunp,ICHvc,0.9486
BAFAunp,ICHvk1,0.9506
BAFAunp,ICHvk2,0.9510
BAFAunp,ICHwc,0.9509
BAFAunp,ICHwk1,0.9429
BAFAunp,ICHwk2,0.9250
BAFAunp,ICHwk3,0.9415
BAFAunp,ICHwk4,0.9454
BAFAunp,ICHxw,0.7977
BAFAunp,IDFdc,0.8992
BAFAunp,IDFdk1,0.8703
BAFAunp,IDFdk2,0.8845
BAFAunp,IDFdk3,0.8725
BAFAunp,IDFdk4,0.8768
BAFAunp,IDFdk5,0.8613
BAFAunp,IDFdm1,0.8382
BAFAunp,IDFdm2,0.8308
BAFAunp,IDFdw,0.9088
BAFAunp,IDFmw1,0.8300
BAFAunp,IDFmw2,0.8349
BAFAunp,IDFww,0.8759
BAFAunp,IDFww1,0.8110
BAFAunp,IDFxc,0.7953
BAFAunp,IDFxh1,0.7797
BAFAunp,IDFxh2,0.8019
BAFAunp,IDFxh4,0.7594
BAFAunp,IDFxk,0.7900
BAFAunp,IDFxm,0.8319
BAFAunp,IDFxw,0.8007
BAFAunp,IMAun,0.9852
BAFAunp,IMAunp,0.9946
BAFAunp,MHmm1,0.9411
BAFAunp,MHmm2,0.9816
BAFAunp,MHmmp,0.9746
BAFAunp,MHun,0.9447
BAFAunp,MHunp,0.9461
BAFAunp,MHwh,0.9120
