"Unit","SImin","SImean","SImax","MeanPlotSiteIndex","Spp"
"ICHmw3/04",10.9949925059447,12.9809276832635,14.4577006900341,15,"Cw"
"ICHmw3/04",10.9949925059447,12.9809276832635,14.4577006900341,15,"Cw"
"ICHmw3/05",10.9949925059447,14.1709931581026,16.4404012741968,15,"Cw"
"ICHmw3/05",10.9949925059447,14.1709931581026,16.4404012741968,15,"Cw"
"ICHmw3/06",14.1571830763642,15.9205621818851,17.4484557057693,18,"Cw"
"ICHmw3/06",14.1571830763642,15.9205621818851,17.4484557057693,18,"Cw"
"ICHmw3/07",15.4530096650369,16.7009097007432,17.600234526784,18,"Cw"
"ICHmw3/07",15.4530096650369,16.7009097007432,17.600234526784,18,"Cw"
"ICHmw3/08",15.278902611728,16.2287781249388,17.600234526784,15,"Cw"
"ICHmw3/08",15.278902611728,16.2287781249388,17.600234526784,15,"Cw"
"ICHmw3/09",8.00395033918567,13.4702677230179,17.600234526784,NA,"Cw"
"ICHmw5/101",15.7989351396769,16.6887689883819,18.1330692429123,NA,"Cw"
"ICHmw5/102",11.0074730362321,11.71123497399,12.3969360440376,NA,"Cw"
"ICHmw5/103",12.2700379394447,12.5939467284973,12.9178555175499,NA,"Cw"
"ICHmw5/104",12.9178555175499,13.4872727213295,14.0237809122673,NA,"Cw"
"ICHmw5/110",17.6265003570524,18.4104843768226,19.4718835305031,NA,"Cw"
"ICHmw5/111",17.6265003570524,18.6242874603534,19.6412635361055,NA,"Cw"
"ICHmw5/112",17.6265003570524,18.6242874603534,19.6412635361055,NA,"Cw"
"ICHmw5/113",19.3435529305107,19.4924082333081,19.6412635361055,NA,"Cw"
"ICHvc/01",13.4149775581134,14.1455011883705,15.2090907176159,NA,"Cw"
"ICHvc/02",9.8728688743119,11.5584354701213,13.5221679855704,NA,"Cw"
"ICHvc/03",14.415677713359,15.2980561260819,15.893423270867,NA,"Cw"
"ICHvc/04",15.0341275914738,15.3285059170645,15.7220419814611,NA,"Cw"
"ICHvc/05",15.0341275914738,15.3285059170645,15.7220419814611,NA,"Cw"
"ICHvc/06",10.7163074885104,13.318442750662,15.3078071482169,NA,"Cw"
