MergedBGC,Source,SS_NoSpace,SSprob,SSCurrent,FuturePeriod,SiteNo
CWHds1,BECv10,CWHds1/01,0.053333333,SBSmc2/03,2085,45
CWHds1,BECv10,CWHds1/01,0.048484848,SBSmc2/01,2085,45
CWHds1,BECv10,CWHds1/01,0.026666667,SBSmc2/03,2055,46
CWHds1,BECv10,CWHds1/01,0.024242424,SBSmc2/01,2055,46
CWHds1,BECv10,CWHds1/01,0.08,SBSmc2/03,2085,46
CWHds1,BECv10,CWHds1/01,0.072727273,SBSmc2/01,2085,46
CWHds1,BECv10,CWHds1/01,0.053333333,SBSmc2/03,2085,47
CWHds1,BECv10,CWHds1/01,0.048484848,SBSmc2/01,2085,47
CWHds1,BECv10,CWHds1/01,0.053333333,SBSmc2/03,2085,48
CWHds1,BECv10,CWHds1/01,0.048484848,SBSmc2/01,2085,48
CWHds1,BECv10,CWHds1/01,0.053333333,SBSmc2/03,2085,49
CWHds1,BECv10,CWHds1/01,0.048484848,SBSmc2/01,2085,49
CWHds1,BECv10,CWHds1/01,0.053333333,ESSFmc/01,2085,50
CWHds1,BECv10,CWHds1/01,0.066666667,ESSFmc/04,2085,50
CWHds1,BECv10,CWHds1/01,0.053333333,SBSmc2/03,2085,51
CWHds1,BECv10,CWHds1/01,0.048484848,SBSmc2/01,2085,51
CWHds1,BECv10,CWHds1/01,0.053333333,SBSmc2/03,2085,52
CWHds1,BECv10,CWHds1/01,0.048484848,SBSmc2/01,2085,52
CWHds1,BECv10,CWHds1/01,0.031372549,ICHmc2/01,2055,53
CWHds1,BECv10,CWHds1/01,0.094117647,ICHmc2/01,2085,53
CWHds1,BECv10,CWHds1/01,0.031372549,ICHmc1/01,2055,54
CWHds1,BECv10,CWHds1/01,0.000900901,ICHmc1/02,2055,54
CWHds1,BECv10,CWHds1/01,0.094117647,ICHmc1/01,2085,54
CWHds1,BECv10,CWHds1/01,0.002702703,ICHmc1/02,2085,54
CWHds1,BECv10,CWHds1/01,0.053333333,SBSmc2/03,2085,55
CWHds1,BECv10,CWHds1/01,0.048484848,SBSmc2/01,2085,55
CWHds1,BECv10,CWHds1/01,0.031372549,ICHmc2/01,2055,56
CWHds1,BECv10,CWHds1/01,0.094117647,ICHmc2/01,2085,56
CWHds1,BECv10,CWHds1/01,0.031372549,ICHmc2/01,2055,57
CWHds1,BECv10,CWHds1/01,0.094117647,ICHmc2/01,2085,57
