"","Acb","Act","At","Ba","Bb","Bc","Bg","Bl","Bm","Bp","Cw","Dr","Ep","Fd","Gp","Hm","Hw","La","Lt","Lw","Mb","Oa","Ot","Oy","Pa","Pf","Pj","Pl","Ps","Pw","Py","Qb","Qc","Qg","Ra","Sb","Ss","Sx","Yc"
"Cw",-0.684658655339946,-0.219448931526738,-0.650379481801447,-0.25681483317021,-0.533105418713043,-0.482596144545685,-0.111524930568396,-0.654309641813668,-0.409180689189781,-0.152095408297776,1,0.127532916087997,-0.390353540821066,-0.501607132105755,-0.22088245089772,-0.553323203949567,0.159276320564867,-0.277537382671391,-0.603334996620038,-0.564357546498828,-0.010669080848803,-0.443164274730083,-0.284651938171023,-0.437710961236608,-0.780054932803882,-0.398914499350841,-0.657444425849402,-0.695637046420986,-0.336252465103456,-0.138609892112218,-0.809636382620846,-0.288504210412878,-0.319088043332945,-0.387331604708095,-0.481083669762891,-0.814499359335648,0.157273261714878,-0.544983833709453,-0.128074532589783
"Dr",-0.817661068993162,-0.317032498385532,-0.861004458245578,-0.540103260893637,-0.733342096683532,-0.70109024695752,-0.522806286312459,-0.82105828089566,-0.615287532606945,-0.421129712361171,0.127532916087997,1,-0.542764550534087,-0.617283202020529,-0.3389055874616,-0.838282870407289,-0.3322305922449,-0.450797377933165,-0.784265076082582,-0.865475684223184,-0.126222776458659,-0.680171228808978,-0.462475243269842,-0.692171172280125,-0.857099685396627,-0.599487852824985,-0.822304949505109,-0.805732505379063,-0.527612741023037,-0.813740720237724,-0.87746772345915,-0.468802269907833,-0.509274728566415,-0.515264963198708,-0.542415593561997,-0.859117073712825,-0.154921618801778,-0.796926785032817,-0.713633444040596
"Ep",-0.326686495730293,-0.287598602384555,-0.216593234886538,-0.786130419033594,-0.0101998995983921,-0.718312236007953,-0.477878653778961,-0.607462241051049,-0.570386436654298,-0.400042763195294,-0.390353540821066,-0.542764550534087,1,-0.311633249164253,-0.409618719593646,-0.85660235357938,-0.526715609508601,-0.407977725140683,-0.756402165089519,-0.458938840634373,-0.367034035867181,-0.640971503346688,-0.418443527821263,-0.653925241039141,-0.86133582076246,-0.556052902393609,-0.492288406129441,-0.525292050084869,-0.482873233899243,-0.415770344429801,-0.743217323305058,-0.424110613908051,-0.463435876035905,-0.657511301847366,-0.620475812707186,-0.753308855728437,-0.798558667650368,-0.299627580584158,-0.867363672972344
"Fd",-0.720363381390914,-0.473260918736135,-0.359538039304524,-0.695650824212932,-0.582271089183555,-0.237259361750771,-0.267586139191493,-0.638313304338949,-0.317017662242315,-0.201226052050034,-0.501607132105755,-0.617283202020529,-0.311633249164253,1,-0.00995403873887395,-0.77873613228063,-0.513387081983397,-0.278685848180256,-0.652397748699793,0.0359370143583694,-0.420556565609438,-0.00363912852446755,0.025287082777177,-0.0480529719475462,-0.675433450711617,-0.159540794255777,-0.684415663363153,-0.353263860484259,-0.0743939431201536,-0.164178882439727,-0.114963415959762,-0.0547944189510424,-0.107118689003273,-0.0671428568699892,-0.0297670371355709,-0.84413937499858,-0.770824122127419,-0.526677090365666,-0.774671733602595
"Gp",-0.614506086643517,-0.415856323410507,-0.294221730358558,-0.437385893124319,-0.870183152494251,-0.803352555502978,-0.0266392332224147,-0.24985526452674,-0.875189948987367,-0.900519352791583,-0.22088245089772,-0.3389055874616,-0.409618719593646,-0.00995403873887395,1,-0.483796811058978,-0.267316102028731,-0.812295541610824,-0.822796067908296,-0.385850150748145,0.234333792832067,-0.500607059455215,-0.850847213361766,-0.583748019615644,-0.488760662745303,-0.814757502103566,-0.8352688750364,-0.2620328745129,-0.827116449855534,-0.52873906761183,-0.427041638068677,-0.872786048177569,-0.878458591919332,-0.585482680061535,-0.811793746116277,-0.40390095546197,-0.501044344324433,-0.237218235365465,-0.577235394803512
"Hm",-0.816279509154109,-0.856776691373254,-0.803548783496184,-0.315988254095436,-0.75385951068923,-0.648884039567052,-0.863695274076976,-0.525008109020186,-0.360934444001806,-0.308424827347636,-0.553323203949567,-0.838282870407289,-0.85660235357938,-0.77873613228063,-0.483796811058978,1,-0.401774735152734,-0.481815027522847,-0.797490413745337,-0.824531131277121,-0.87599433902127,-0.697882489872631,-0.494463598378136,-0.707534324056563,-0.796634635704602,-0.627654167327477,-0.831164384714681,-0.673913355780576,-0.558547767660494,-0.81128488870044,-0.852512582125914,-0.50132196064142,-0.499738479642008,-0.732953552317731,-0.812017381552914,-0.830843837104215,-0.723818386441534,-0.557239198464809,-0.0549820233990776
"Hw",-0.70783440035914,-0.509680825776431,-0.640642653748453,-0.235864318568481,-0.562781239888512,-0.432400307289699,-0.524176062012924,-0.587175542130922,-0.436697880504326,-0.0745377545597311,0.159276320564867,-0.3322305922449,-0.526715609508601,-0.513387081983397,-0.267316102028731,-0.401774735152734,1,-0.298627898004618,-0.631939886131166,-0.618522384777299,-0.536034993833438,-0.430809349927697,-0.241105951215615,-0.356098306448769,-0.786205392618127,-0.425711077457497,-0.684628880596068,-0.662808213981006,-0.31208160837997,-0.28828513756791,-0.832582849508419,-0.310443020004432,-0.34273505188616,-0.548590446266486,-0.566736401481223,-0.82397404909898,-0.188710853179846,-0.510294011774421,-0.143694728198925
"La",-0.611889299368603,-0.414189438054169,-0.293044743287954,-0.435613213099081,-0.866051026974934,-0.792605651778527,-0.593307640632129,-0.0324343664268904,-0.870388279778489,-0.895816869721524,-0.277537382671391,-0.450797377933165,-0.407977725140683,-0.278685848180256,-0.812295541610824,-0.481815027522847,-0.298627898004618,1,-0.819097553119723,-0.38429411248795,-0.556851552384656,-0.812444463702388,-0.844725930895924,-0.812803386087235,0.0786171748636168,-0.810287391340663,-0.831621395273371,-0.0820647696279432,-0.821994936526786,-0.526582755624122,-0.425315314367966,-0.86650693031805,-0.872660122004214,-0.775997591558339,-0.811697174168476,-0.402261455109305,-0.499000977393141,0.0253663903528106,-0.57486715585086
"Lt",-0.839209282501594,-0.761509246586489,-0.612088695515125,-0.769710839378052,-0.930790240405232,-0.909495974568972,-0.862771378645393,-0.540058954731391,-0.90554780153113,-0.925108090229931,-0.603334996620038,-0.784265076082582,-0.756402165089519,-0.652397748699793,-0.822796067908296,-0.797490413745337,-0.631939886131166,-0.819097553119723,1,-0.726697219724379,-0.850006816384903,-0.899861282077695,-0.842780261940467,-0.903019061997459,-0.799257887346803,-0.876433263020877,-0.937052707164791,-0.495701879413658,-0.857754590117597,-0.831602115542365,-0.763158857546402,-0.855699582688679,-0.874087991999685,-0.894636549450103,-0.927006135693049,0.0278105026244945,-0.813327378256091,-0.422066742189126,-0.855976919120561
"Lw",-0.777475517923824,-0.705532076506248,-0.432838390310898,-0.84985575695215,-0.666729991842992,-0.688306045072769,-0.59724314344428,-0.492375009372154,-0.541321099061168,-0.58338916408702,-0.564357546498828,-0.865475684223184,-0.458938840634373,0.0359370143583694,-0.385850150748145,-0.824531131277121,-0.618522384777299,-0.38429411248795,-0.726697219724379,1,-0.849472664425621,-0.611066847077969,-0.394220243898774,-0.623918796408936,-0.778575733813283,-0.527509610911703,-0.771261744590134,-0.303566338512995,-0.456329792457737,-0.244799002831727,-0.609517470827287,-0.399597265165676,-0.437401081751728,-0.636557819045804,-0.719277840042666,-0.844625227844962,-0.858141252841447,-0.358075710356679,-0.856877612117772
