fid,id,ZONE,BGC,BGC_analysis,xcoord,ycoord,elevation_1
153,257,CWH,CWHvm2,CWHvm2_S,-123.83949,49.80933202,838
161,267,CWH,CWHvm2,CWHvm2_S,-123.7566359,49.78534491,929
180,298,CWH,CWHvm2,CWHvm2_S,-123.6092141,49.74923023,693
177,294,CWH,CWHvm2,CWHvm2_S,-123.391826,49.74455676,835
174,287,CWH,CWHvm2,CWHvm2_S,-123.8341227,49.70504041,605
154,258,CWH,CWHvm2,CWHvm2_S,-123.738929,49.6975725,1057
163,272,CWH,CWHvm2,CWHvm2_S,-123.605314,49.69553734,723
425,268,CWH,CWHvm2,CWHvm2_S,-123.9033879,49.65471585,1063
165,275,CWH,CWHvm2,CWHvm2_S,-123.3793085,49.60870989,946
347,260,CWH,CWHvm2,CWHvm2_S,-123.5929403,49.58783955,980
349,304,CWH,CWHvm2,CWHvm2_S,-123.7058656,49.5807027,779
348,270,CWH,CWHvm2,CWHvm2_S,-123.5197401,49.45423383,729
366,310,CWH,CWHxm1,CWHxm1,-124.7619027,49.98955121,77
367,317,CWH,CWHxm1,CWHxm1,-124.4958915,49.87006724,208
368,319,CWH,CWHxm1,CWHxm1,-124.3743827,49.80406819,136
369,329,CWH,CWHxm1,CWHxm1,-124.4637917,49.82411662,147
370,332,CWH,CWHxm1,CWHxm1,-124.5591281,49.93340441,196
371,334,CWH,CWHxm1,CWHxm1,-124.6599984,49.95895842,97
372,335,CWH,CWHxm1,CWHxm1,-124.7802468,50.0421413,39
373,341,CWH,CWHxm1,CWHxm1,-124.3021198,49.78059882,165
374,349,CWH,CWHxm1,CWHxm1,-124.1939062,49.79198065,190
375,351,CWH,CWHxm1,CWHxm1,-124.7073094,50.02791206,210
382,307,CWH,CWHxm1,CWHxm1,-124.1668932,49.70234512,113
383,345,CWH,CWHxm1,CWHxm1,-124.1157065,49.65951824,64
384,343,CWH,CWHxm1,CWHxm1,-124.8433295,50.13371488,157
393,328,CWH,CWHxm1,CWHxm1,-124.7220277,50.07360359,110
397,346,CWH,CWHxm1,CWHxm1,-123.2918098,49.53739728,43
400,321,CWH,CWHxm1,CWHxm1,-124.9013949,50.07146593,92
401,324,CWH,CWHxm1,CWHxm1,-124.9601863,50.12208962,135
402,327,CWH,CWHxm1,CWHxm1,-124.9912915,50.03115547,66
403,331,CWH,CWHxm1,CWHxm1,-124.9967872,50.1638544,83
404,338,CWH,CWHxm1,CWHxm1,-125.0637156,50.11551772,61
405,347,CWH,CWHxm1,CWHxm1,-125.1086562,50.15261262,69
406,308,CWH,CWHxm1,CWHxm1,-124.3161635,49.60286398,577
407,314,CWH,CWHxm1,CWHxm1,-124.3592458,49.6454008,388
408,315,CWH,CWHxm1,CWHxm1,-124.4409433,49.67968395,208
409,316,CWH,CWHxm1,CWHxm1,-124.3672504,49.69678721,228
410,318,CWH,CWHxm1,CWHxm1,-124.2073446,49.56830293,234
411,322,CWH,CWHxm1,CWHxm1,-124.1534744,49.53022282,236
412,342,CWH,CWHxm1,CWHxm1,-124.4854448,49.72878836,228
431,306,CWH,CWHxm1,CWHxm1,-123.8927868,49.5393136,306
432,309,CWH,CWHxm1,CWHxm1,-124.0497749,49.64230002,88
433,312,CWH,CWHxm1,CWHxm1,-123.9644151,49.59072435,222
434,313,CWH,CWHxm1,CWHxm1,-123.7174397,49.44682542,56
435,320,CWH,CWHxm1,CWHxm1,-123.52876,49.40440064,127
436,323,CWH,CWHxm1,CWHxm1,-123.7670447,49.48351862,45
437,326,CWH,CWHxm1,CWHxm1,-124.0462095,49.70000941,254
438,333,CWH,CWHxm1,CWHxm1,-123.8346502,49.49821627,235
439,337,CWH,CWHxm1,CWHxm1,-123.6274994,49.43078089,124
440,339,CWH,CWHxm1,CWHxm1,-123.7827766,49.59637684,110
441,340,CWH,CWHxm1,CWHxm1,-123.9657831,49.64988978,95
442,348,CWH,CWHxm1,CWHxm1,-123.738272,49.54114891,197
443,350,CWH,CWHxm1,CWHxm1,-123.4932839,49.4430754,109
445,336,CWH,CWHxm1,CWHxm1,-123.389538,49.47427141,112
456,325,CWH,CWHxm1,CWHxm1,-123.4642506,49.36844385,56
457,352,CWH,CWHxm1,CWHxm1,-124.6930136,50.13620092,106
458,311,CWH,CWHxm1,CWHxm1,-124.7673144,50.10993529,60
